num_total_tokens,num_green_tokens,num_tokens_scored,green_fraction,z_score
209,50,89,0.5617977528089888,1.1659976680069961
125,47,93,0.5053763440860215,0.10369516947304253
142,41,80,0.5125,0.22360679774997896
107,29,57,0.5087719298245614,0.13245323570650439
83,29,52,0.5576923076923077,0.8320502943378437
326,77,130,0.5923076923076923,2.1049392463368704
178,61,90,0.6777777777777778,3.3730961708462712
271,116,195,0.5948717948717949,2.6496250339459015
119,38,59,0.6440677966101694,2.213211486674006
15,10,15,0.6666666666666666,1.2909944487358056
44,16,31,0.5161290322580645,0.1796053020267749
71,34,56,0.6071428571428571,1.6035674514745464
74,23,47,0.48936170212765956,-0.14586499149789456
269,43,92,0.4673913043478261,-0.6255432421712244
143,34,63,0.5396825396825397,0.629940788348712
54,14,34,0.4117647058823529,-1.028991510855053
2247,549,959,0.5724713242961418,4.488544101858355
107,24,58,0.41379310344827586,-1.3130643285972254
20,7,17,0.4117647058823529,-0.7276068751089989
108,25,57,0.43859649122807015,-0.9271726499455306
43,16,29,0.5517241379310345,0.5570860145311556
183,45,93,0.4838709677419355,-0.3110855084191276
131,23,54,0.42592592592592593,-1.0886621079036347
3008,1325,2435,0.5441478439425051,4.357014217933791
295,86,139,0.6187050359712231,2.799023467943904
224,55,104,0.5288461538461539,0.5883484054145521
105,33,56,0.5892857142857143,1.3363062095621219
96,30,45,0.6666666666666666,2.23606797749979
108,33,50,0.66,2.262741699796952
104,29,56,0.5178571428571429,0.2672612419124244
73,23,43,0.5348837209302325,0.457495710997814
212,52,97,0.5360824742268041,0.7107423155935334
74,18,30,0.6,1.0954451150103321
285,87,174,0.5,0.0
197,46,80,0.575,1.3416407864998738
95,38,63,0.6031746031746031,1.6378460497066512
137,54,93,0.5806451612903226,1.5554275420956378
63,9,33,0.2727272727272727,-2.6111648393354674
46,12,21,0.5714285714285714,0.6546536707079772
314,111,203,0.5467980295566502,1.3335385720528332
121,40,76,0.5263157894736842,0.4588314677411235
1180,350,644,0.5434782608695652,2.2067091374694816
188,84,149,0.5637583892617449,1.556540648986177
153,32,66,0.48484848484848486,-0.24618298195866545
258,71,140,0.5071428571428571,0.1690308509457033
35,12,24,0.5,0.0
107,33,58,0.5689655172413793,1.0504514628777804
1031,410,765,0.5359477124183006,1.988529196671015
188,52,98,0.5306122448979592,0.6060915267313265
150,38,68,0.5588235294117647,0.9701425001453319
440,167,366,0.4562841530054645,-1.6726667951658134
153,48,99,0.48484848484848486,-0.30151134457776363
45,15,35,0.42857142857142855,-0.8451542547285166
173,44,80,0.55,0.8944271909999159
134,40,75,0.5333333333333333,0.5773502691896257
104,53,94,0.5638297872340425,1.237705495510552
21,8,20,0.4,-0.8944271909999159
56,23,42,0.5476190476190477,0.6172133998483676
298,55,105,0.5238095238095238,0.4879500364742666
46,17,29,0.5862068965517241,0.9284766908852594
145,43,70,0.6142857142857143,1.9123657749350298
108,40,81,0.49382716049382713,-0.1111111111111111
204,41,84,0.4880952380952381,-0.2182178902359924
115,22,48,0.4583333333333333,-0.5773502691896258
131,46,76,0.6052631578947368,1.835325870964494
557,101,176,0.5738636363636364,1.9598237397554636
41,11,31,0.3548387096774194,-1.6164477182409742
1030,420,814,0.515970515970516,0.9112995284026161
118,48,85,0.5647058823529412,1.193117518002609
115,23,58,0.39655172413793105,-1.5756771943166705
82,26,44,0.5909090909090909,1.2060453783110545
27,14,26,0.5384615384615384,0.3922322702763681
1591,722,1311,0.5507246376811594,3.6732483748296145
902,390,716,0.5446927374301676,2.391792296806195
111,20,52,0.38461538461538464,-1.6641005886756874
741,199,385,0.5168831168831168,0.6625413488689132
476,79,150,0.5266666666666666,0.6531972647421809
115,26,59,0.4406779661016949,-0.9113223768657671
111,29,53,0.5471698113207547,0.6868028197434451
69,19,32,0.59375,1.0606601717798212
191,40,82,0.4878048780487805,-0.22086305214969307
105,40,71,0.5633802816901409,1.0681034923744679
69,27,39,0.6923076923076923,2.401922307076307
116,43,89,0.48314606741573035,-0.31799936400190804
313,51,106,0.4811320754716981,-0.38851434494290565
162,75,136,0.5514705882352942,1.2004900959975617
83,40,67,0.5970149253731343,1.5882027766319677
60,22,46,0.4782608695652174,-0.29488391230979427
43,16,28,0.5714285714285714,0.7559289460184544
102,41,67,0.6119402985074627,1.8325416653445783
181,38,54,0.7037037037037037,2.9938207967349952
121,42,80,0.525,0.4472135954999579
253,64,124,0.5161290322580645,0.3592106040535498
109,35,52,0.6730769230769231,2.4961508830135313
196,74,129,0.5736434108527132,1.6728567220186852
142,34,65,0.5230769230769231,0.3721042037676254
213,32,46,0.6956521739130435,2.6539552107881486
59,20,45,0.4444444444444444,-0.7453559924999299
235,43,88,0.48863636363636365,-0.21320071635561041
18,8,15,0.5333333333333333,0.2581988897471611
124,48,75,0.64,2.424871130596428
108,28,46,0.6086956521739131,1.4744195615489712
35,13,25,0.52,0.2
134,56,96,0.5833333333333334,1.6329931618554523
0,0,0,0.0,0.0
83,15,33,0.45454545454545453,-0.5222329678670935
157,43,73,0.589041095890411,1.5215349135496974
108,35,66,0.5303030303030303,0.4923659639173309
3308,1366,2577,0.5300737291424137,3.0533352312100015
141,40,80,0.5,0.0
103,40,73,0.547945205479452,0.819288030372914
79,32,59,0.5423728813559322,0.6509445549041194
484,90,150,0.6,2.4494897427831783
247,53,102,0.5196078431372549,0.39605901719066977
143,49,88,0.5568181818181818,1.0660035817780522
82,30,52,0.5769230769230769,1.1094003924504583
114,29,49,0.5918367346938775,1.2857142857142858
85,23,43,0.5348837209302325,0.457495710997814
81,27,47,0.574468085106383,1.021054940485262
702,88,180,0.4888888888888889,-0.29814239699997197
32,18,32,0.5625,0.7071067811865475
44,12,30,0.4,-1.0954451150103321
