num_total_tokens,num_green_tokens,num_tokens_scored,green_fraction,z_score
313,166,258,0.6434108527131783,4.607038767098708
628,163,258,0.6317829457364341,4.2334950832798945
91,18,37,0.4864864864864865,-0.1643989873053573
43,18,25,0.72,2.2
1561,868,1250,0.6944,13.746155826266483
163,68,115,0.591304347826087,1.958260097304659
7435,4855,6468,0.7506184291898578,40.3114114720266
559,273,396,0.6893939393939394,7.53778361444409
271,107,201,0.5323383084577115,0.9169493006161777
116,42,79,0.5316455696202531,0.562543950463012
194,59,96,0.6145833333333334,2.2453655975512468
336,88,139,0.6330935251798561,3.1382990398158928
4829,2279,3292,0.6922843256379101,22.06499291899248
631,293,434,0.6751152073732719,7.296233483207254
245,83,139,0.5971223021582733,2.2901101101359216
408,159,253,0.6284584980237155,4.086514987502555
225,78,133,0.5864661654135338,1.9943529299054759
219,72,128,0.5625,1.414213562373095
3373,1876,2668,0.7031484257871065,20.98632381115013
94,22,40,0.55,0.6324555320336759
168,45,88,0.5113636363636364,0.21320071635561041
312,91,170,0.5352941176470588,0.9203579866168444
209,83,137,0.6058394160583942,2.477637207378607
1035,540,804,0.6716417910447762,9.733769498848655
1078,544,788,0.6903553299492385,10.687057498186446
88,32,57,0.5614035087719298,0.9271726499455306
273,67,111,0.6036036036036037,2.183063390230748
378,225,336,0.6696428571428571,6.219209871725783
4350,2103,3036,0.6926877470355731,21.234154752738363
151,65,103,0.6310679611650486,2.6603890510435915
299,104,172,0.6046511627906976,2.744974265986884
152,48,90,0.5333333333333333,0.6324555320336759
67,26,42,0.6190476190476191,1.543033499620919
194,52,119,0.4369747899159664,-1.3750477455423171
175,43,79,0.5443037974683544,0.7875615306482168
79,32,51,0.6274509803921569,1.8203641092364127
117,45,66,0.6818181818181818,2.9541957835039856
109,29,65,0.4461538461538462,-0.8682431421244593
218,58,93,0.6236559139784946,2.3849888978799783
567,176,276,0.6376811594202898,4.57466241725923
222,56,106,0.5283018867924528,0.5827715174143585
1671,853,1256,0.679140127388535,12.697484579619758
158,46,91,0.5054945054945055,0.10482848367219183
75,34,54,0.6296296296296297,1.9051586888313607
252,115,174,0.6609195402298851,4.245349044041859
10311,6702,8829,0.7590893645939517,48.68950283207519
134,45,74,0.6081081081081081,1.8599622199011085
1445,889,1189,0.7476871320437343,17.081435582161088
298,49,105,0.4666666666666667,-0.6831300510639733
305,82,150,0.5466666666666666,1.1430952132988164
206,37,80,0.4625,-0.6708203932499369
143,62,103,0.6019417475728155,2.0691914841450156
53,18,37,0.4864864864864865,-0.1643989873053573
80,27,49,0.5510204081632653,0.7142857142857143
39,16,25,0.64,1.4
138,54,92,0.5869565217391305,1.6681153124565982
213,68,134,0.5074626865671642,0.17277368511627203
4088,2413,3407,0.7082477252714998,24.31063644416815
260,77,142,0.5422535211267606,1.007017629956027
207,63,116,0.5431034482758621,0.9284766908852594
192,53,103,0.5145631067961165,0.29559878344928797
181,59,119,0.4957983193277311,-0.09166984970282113
106,36,60,0.6,1.5491933384829668
527,118,218,0.5412844036697247,1.2191138306614735
308,96,172,0.5581395348837209,1.5249857033260468
112,38,64,0.59375,1.5
77,25,42,0.5952380952380952,1.2344267996967353
351,126,207,0.6086956521739131,3.1277162108561214
191,38,71,0.5352112676056338,0.5933908290969266
438,278,384,0.7239583333333334,8.777338244973055
205,89,159,0.559748427672956,1.5067980128644738
333,82,140,0.5857142857142857,2.02837021134844
405,174,266,0.6541353383458647,5.02774258377672
52,18,28,0.6428571428571429,1.5118578920369088
239,59,103,0.5728155339805825,1.4779939172464398
290,83,144,0.5763888888888888,1.8333333333333333
38,10,24,0.4166666666666667,-0.8164965809277261
1040,461,714,0.6456582633053222,7.784204361077245
4528,2613,3651,0.7156943303204601,26.066015048515748
757,251,412,0.6092233009708737,4.433981751739319
2357,1192,1671,0.713345302214243,17.442201723335003
415,124,189,0.656084656084656,4.291618507974516
3951,2244,3098,0.724338282763073,24.973194150555567
485,310,429,0.7226107226107226,9.22156689707861
5958,3648,4995,0.7303303303303303,32.55733681031328
211,57,110,0.5181818181818182,0.38138503569823695
493,160,238,0.6722689075630253,5.315270533127748
50,16,32,0.5,0.0
127,47,86,0.5465116279069767,0.8626621856275073
60,21,33,0.6363636363636364,1.5666989036012806
262,54,109,0.4954128440366973,-0.09578262852211514
184,56,106,0.5283018867924528,0.5827715174143585
150,50,89,0.5617977528089888,1.1659976680069961
3063,1613,2301,0.7009995654063451,19.2833917141601
38,11,24,0.4583333333333333,-0.4082482904638631
256,68,109,0.6238532110091743,2.5861309700971087
1783,852,1254,0.6794258373205742,12.707606131310364
176,65,126,0.5158730158730159,0.3563483225498992
3445,1974,2779,0.7103274559193955,22.175337470702598
315,131,216,0.6064814814814815,3.12990356022295
315,121,187,0.6470588235294118,4.021998332699218
955,393,588,0.6683673469387755,8.165382378538993
339,118,198,0.5959595959595959,2.7005424071710658
280,77,118,0.652542372881356,3.3140686244339643
435,159,250,0.636,4.300697617828996
198,70,128,0.546875,1.0606601717798212
125,34,56,0.6071428571428571,1.6035674514745464
8565,5139,6834,0.7519754170324846,41.66061296380256
310,75,134,0.5597014925373134,1.3821894809301762
187,71,131,0.5419847328244275,0.9610744623271417
14416,9789,12847,0.7619677745777225,59.38526906030905
43,12,25,0.48,-0.2
304,180,279,0.6451612903225806,4.849343154722922
198,63,116,0.5431034482758621,0.9284766908852594
16,7,15,0.4666666666666667,-0.2581988897471611
87,33,60,0.55,0.7745966692414834
873,470,678,0.6932153392330384,10.062049381617648
222,80,163,0.49079754601226994,-0.2349781349963872
201,111,166,0.6686746987951807,4.346442943955464
5226,2893,4012,0.7210867397806581,28.00742317211233
2844,1654,2401,0.6888796334860475,18.510204081632654
521,100,195,0.5128205128205128,0.35805743701971643
4052,2034,2869,0.7089578250261415,22.384835590477035
242,63,121,0.5206611570247934,0.45454545454545453
95,40,65,0.6153846153846154,1.860521018838127
3277,1940,2720,0.7132352941176471,22.24198467657374
0,0,0,0.0,0.0
4527,2584,3591,0.7195767195767195,26.316249230180457
7267,4504,6057,0.7436024434538551,37.9175634932501
204,78,125,0.624,2.7727242920997393
333,75,159,0.4716981132075472,-0.7137464271463297
481,250,395,0.6329113924050633,5.28312335697959
282,70,123,0.5691056910569106,1.532838378934635
525,288,436,0.6605504587155964,6.704783996548059
1172,529,814,0.6498771498771498,8.552195574239935
285,72,141,0.5106382978723404,0.2526455763199557
311,100,158,0.6329113924050633,3.341340593538066
275,61,108,0.5648148148148148,1.3471506281091268
377,224,314,0.7133757961783439,7.562057482973545
1662,944,1325,0.7124528301886792,15.466799500622383
317,81,165,0.4909090909090909,-0.23354968324845687
121,39,66,0.5909090909090909,1.4770978917519928
206,54,109,0.4954128440366973,-0.09578262852211514
165,42,88,0.4772727272727273,-0.42640143271122083
